Name,Base TA,Overall TA,Base GS,Overall GS,Base Ratio,Overall Ratio,Base Time,Overall Time,Max Time,Site Rating,Num Gamers,Base Num Achievements,Overall Num Achievements,Base SSD,Base TAD Rate,Overall SSD Rate,Overall TAD Rate,Developer(s),Publisher(s),is 360?,BCMX Value,PDU,Server Closure,Delisted,Install Size
Tell Me Why,689,2130,500,1500,1.378,1.42,2.5,8.5,10.0,3.5,116365,16,30,70.9,75.6,15.129411764705885,74.11764705882354,DON’T NOD,Xbox Game Studios,False,16.921252908694438,0,False,False,9000.0
Teenage Mutant Ninja Turtles: Shredder's Revenge,2768,2768,1000,1000,2.768,2.768,17.5,17.5,20.0,4.14,239867,30,30,442.11428571428576,101.02857142857142,25.263673469387758,101.02857142857142,"Tribute Games, Seaven Studio","Dotemu, Limited Run Games",False,92.1041341786567,0,False,False,1160.0
TUNIC,2935,2935,1000,1000,2.935,2.935,17.5,17.5,20.0,4.07,185110,36,36,558.4,110.57142857142857,31.908571428571427,110.57142857142857,ISOMETRICORP Games,Finji,False,100.56391077319935,0,False,False,3080.0
TOEM,1534,1534,1000,1000,1.534,1.534,7.0,7.0,8.0,4.03,21487,48,48,246.79999999999998,76.28571428571429,35.25714285714285,76.28571428571429,Something We Made,Something We Made,False,15.199455367084704,0,False,False,789.0
Sword and Fairy: Together Forever,2261,2261,1000,1000,2.261,2.261,27.5,27.5,30.0,3.72,8576,37,37,404.73333333333335,45.85454545454545,14.717575757575759,45.85454545454545,SOFTSTAR Entertainment,E-Home Entertainment,False,101.9934067619079,0,False,False,27250.0
Supraland: Six Inches Under,2822,2822,1000,1000,2.822,2.822,17.5,17.5,20.0,3.5,34339,53,53,712.9666666666666,104.11428571428571,40.74095238095238,104.11428571428571,Supra Games,Humble Games,False,94.8124807143026,0,False,False,2710.0
Supraland: Six Inches Under,2822,2822,1000,1000,2.822,2.822,17.5,17.5,20.0,3.5,34339,53,53,712.9666666666666,104.11428571428571,40.74095238095238,104.11428571428571,Supra Games,Humble Games,False,94.8124807143026,0,False,False,2710.0
Superliminal,4545,4545,1200,1200,3.7875,3.7875,10.5,10.5,12.0,3.98,106189,23,23,479.3,318.57142857142856,45.647619047619045,318.57142857142856,Pillow Castle Games,Pillow Castle Games,False,88.45251957264983,0,False,False,14410.0
Superliminal,4545,4545,1200,1200,3.7875,3.7875,10.5,10.5,12.0,3.98,106189,23,23,479.3,318.57142857142856,45.647619047619045,318.57142857142856,Pillow Castle Games,Pillow Castle Games,False,88.45251957264983,0,False,False,14410.0
Super Lucky's Tale,3536,5214,1280,2000,2.7625,2.607,17.5,24.5,28.0,3.6,153299,54,58,718.2766666666668,128.9142857142857,30.974557823129253,131.18367346938774,Playful Studios,Xbox Game Studios,False,117.86085250714932,0,False,False,10300.0
