Game Name,Overall Completion Time,Overall Ratio,Install Size (MB)
Chants of Sennaar,8.0-10.0,1.594,1021.0
Hypnospace Outlaw,6.0-8.0,2.313,1020.0
The Big Con,6.0-8.5,2.294,1015.0
The Cave,12.0-15.0,2.22,1011.0
Halo: Spartan Assault (Windows),9.0-12.0,2.416,1010.0
Stacking,7.0-10.0,1.42,994.0
Dead Cells,51.0-65.5,5.07037037037037,989.0
Merge & Blade,40.0-50.0,15.215,985.0
Vampire Survivors,54.0-71.5,1.7574074074074073,974.0
MASSIVE CHALICE,60.0-80.0,8.448,962.0
Starbound (Windows),12.0-15.0,1.4,943.0
Core Keeper,180.0-220.0,2.8641666666666667,894.0
Neon Abyss (Windows),40.0-50.0,4.949,890.0
Monster Sanctuary,43.0-54.0,4.185833333333333,879.0
Wargroove 2,25.0-30.0,6.571,828.0
Joy Ride Turbo,8.0-10.0,3.14,822.0
Monster Sanctuary (Windows),29.0-35.0,3.6908333333333334,779.0
Neon Abyss,50.0-60.0,7.143,771.0
Spirittea,60.0-80.0,2.556,712.0
Brotato,28.0-36.0,2.3262798634812287,710.0
Core Keeper (Windows),80.0-100.0,3.024,680.0
Unpacking,1.0-2.0,1.474,667.0
Stardew Valley (Windows),150.0-200.0,3.251,652.0
Lil Gator Game,4.0-5.0,1.469,607.0
Killer Instinct 2 Classic,15.0-20.0,2.222,570.0
Donut County,1.0-2.0,1.408,562.0
Slay The Spire,152.0-203.0,4.3439252336448595,561.0
Killer Instinct Classic,15.0-20.0,2.255,437.0
Minecraft (Windows),30.0-35.0,2.7555932203389832,416.0
Costume Quest,7.0-10.0,1.252,408.0
Terraria,81.0-103.0,3.407751937984496,387.0
Zuma's Revenge!,15.0-20.0,1.8375,375.0
Carrion,6.0-8.0,2.106,373.0
NHL 94 Rewind,2.0-3.0,2.213,323.0
Cities: Skylines II,-1.0--1.0,1.0,317.0
GoldenEye 007,15.0-20.0,3.181,311.0
DOOM 64,1.0-2.0,1.479,280.0
SteamWorld Dig,8.0-10.0,3.987,242.0
Perfect Dark (2010),50.0-60.0,3.425,240.0
Microsoft Solitaire Collection (UWP),350.0-500.0,3.176216216216216,233.0
Bejeweled 3,12.0-15.0,3.305,211.0
Carrion (Windows),6.0-8.0,1.966,185.0
SteamWorld Dig 2,15.0-20.0,3.692,181.0
Peggle,60.0-75.0,4.044,103.0
Banjo-Tooie,15.0-20.0,1.645,94.0
Plants vs. Zombies,15.0-20.0,2.175,84.0
Feeding Frenzy 2: Shipwreck Showdown,8.0-10.0,1.81,58.0
Banjo-Kazooie,12.0-15.0,1.87,48.0
Heavy Weapon,8.0-10.0,2.955,37.0
Feeding Frenzy,10.0-12.0,2.205,31.0
Zuma,50.0-60.0,4.605,27.0
Bejeweled 2,300.0-500.0,5.12,25.0
Jetpac Refuelled,10.0-12.0,4.935,22.0
