Game Name,Overall Completion Time,Overall Ratio,Install Size (MB)
LEGO Star Wars: The Skywalker Saga,80.0-100.0,3.132,45140.0
Wolfenstein: The New Order (Windows),12.0-15.0,2.192,44760.0
RAGE 2 (Windows),35.0-42.0,3.721254355400697,44570.0
Wolfenstein: The New Order,20.0-25.0,1.964,44550.0
Ni no Kuni: Wrath of the White Witch Remastered,80.0-100.0,4.234,44430.0
Gears of War: Ultimate Edition,150.0-200.0,2.8168,44390.0
Spyro Reignited Trilogy,25.0-30.0,1.9816666666666667,43890.0
Halo Wars 2,82.0-114.0,2.9937142857142858,43600.0
Control: Ultimate Edition,25.0-30.0,1.902158273381295,43590.0
Yakuza Kiwami 2 (Windows),60.0-80.0,2.238,43080.0
Wolfenstein: Youngblood (Windows),50.0-60.0,3.632,42900.0
Battlefield 2042 (Xbox One),100.0-120.0,3.456,42280.0
Madden NFL 24 (Xbox One),60.0-80.0,3.474,42210.0
Control,31.0-39.0,1.9525179856115107,42070.0
Wolfenstein: Youngblood,50.0-60.0,2.973,41900.0
Star Wars Battlefront,125.0-162.0,3.308284023668639,41570.0
NHL 24,80.0-100.0,4.26,40800.0
Madden NFL 23 (Xbox One),80.0-100.0,3.184,40730.0
Yakuza Kiwami 2,60.0-80.0,2.279,40450.0
Farming Simulator 22,40.0-50.0,3.277,40000.0
NHL 23,313.0-314.0,3.956,39820.0
Yakuza 6: The Song of Life (Windows),40.0-50.0,1.914,39220.0
DEATHLOOP,25.0-30.0,3.676,39100.0
NHL 24 (Xbox One),212.0-213.0,3.998,39020.0
Wartales,150.0-200.0,5.4158620689655175,39000.0
Wartales,150.0-200.0,5.4158620689655175,39000.0
Yakuza 4 Remastered (Windows),60.0-80.0,2.713,38960.0
NHL 23 (Xbox One),184.0-185.0,3.755,38660.0
GRID Legends,75.0-100.0,3.53,38430.0
Battlefield 4,59.0-73.0,2.478125,38350.0
Prey (Windows),50.0-60.0,3.77907949790795,37990.0
NBA LIVE 19,308.0-309.0,6.813,37990.0
Prey,55.0-70.0,3.6552301255230124,37770.0
Yakuza 5 Remastered,150.0-200.0,2.949,37530.0
Wolfenstein: The Old Blood (Windows),15.0-20.0,2.143,37220.0
Yakuza: Like a Dragon,80.0-100.0,2.054,37150.0
Wolfenstein: The Old Blood,15.0-20.0,2.31,37140.0
Ryse: Son of Rome,47.0-61.0,2.488,36960.0
Fallout 4 (Windows),8.0-14.0,2.2175,35990.0
Lies of P,60.0-80.0,2.386,35770.0
Yakuza 6: The Song of Life,50.0-60.0,2.017,35760.0
Mafia: Definitive Edition (Windows),15.0-20.0,2.857,35720.0
Robin Hood - Sherwood Builders,62.0-63.0,5.819,35070.0
Call of the Wild: The Angler,150.0-200.0,5.051111111111111,35060.0
Monster Hunter Rise,600.0-1000.0,5.3945,34980.0
Lords of the Fallen,85.0-106.0,5.8275,34870.0
The Evil Within,70.0-93.0,2.740057636887608,34650.0
The Evil Within 2 (Windows),20.0-25.0,2.262,34570.0
Dishonored Definitive Edition,60.0-80.0,3.6670731707317072,34440.0
The Evil Within (JP),30.0-35.0,1.6795389048991354,34390.0
VALORANT,60.0-80.0,2.822,33480.0
Evil West,20.0-25.0,3.235,33470.0
Injustice 2,153.0-209.0,3.8418410041841002,33200.0
Watch_Dogs 2,49.0-63.0,2.1706349206349205,33170.0
Immortals Fenyx Rising,64.0-80.0,2.2558265582655825,32950.0
Phoenix Point,200.0-300.0,7.651,32750.0
Aliens: Dark Descent,50.0-60.0,3.353,32500.0
Ara: History Untold,50.0-50.0,11.345,32350.0
Plants vs. Zombies Garden Warfare 2,55.0-70.0,2.948,32130.000000000004
Dishonored: Death of the Outsider (Windows),12.0-15.0,2.03,31960.0
Dead Space,30.0-35.0,2.363,31910.0
Yakuza 5 Remastered (Windows),150.0-200.0,2.935,31590.0
SnowRunner (Windows),120.0-150.0,5.952,31510.0
Need for Speed Heat,40.0-50.0,3.192,31220.0
Yakuza 0 (Windows),150.0-200.0,4.602,31060.0
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,80.0-100.0,3.261,30940.0
Plants vs. Zombies: Battle for Neighborville,150.0-200.0,2.753,30730.0
Psychonauts 2,25.0-30.0,1.965,30240.0
The Evil Within 2,25.0-30.0,2.165,29800.0
EA SPORTS UFC 4,15.0-20.0,2.905,29630.0
Need for Speed Unbound,40.0-50.0,3.874,29270.0
Kona II: Brume,15.0-20.0,3.137,29270.0
Battlefield 3,56.0-71.0,2.199375,28810.0
Resident Evil 3,20.0-25.0,1.862,28750.0
Atlas Fallen,21.0-27.0,2.658373205741627,28540.0
Dishonored: Death of the Outsider,15.0-20.0,2.141,28470.0
It Takes Two,12.0-15.0,1.803,28160.0
My Time at Sandrock,80.0-100.0,2.134,28140.0
Sunset Overdrive (Windows),25.0-30.0,3.5398280802292263,27740.0
The Elder Scrolls V: Skyrim Special Edition,80.0-100.0,2.0412903225806454,27530.0
Wreckfest (Windows),15.0-20.0,3.477,26820.0
Galacticare,40.0-50.0,3.874,26580.0
Chivalry 2,40.0-50.0,3.466,26460.0
Yakuza 0,150.0-200.0,4.475,26210.0
Sunset Overdrive,47.5-63.0,3.021818181818182,26060.0
Eiyuden Chronicle: Hundred Heroes,120.0-150.0,3.51,25980.0
Ghostwire: Tokyo,60.0-80.0,3.354237288135593,25850.0
Age of Mythology: Retold,45.0-55.0,4.5819004524886875,25420.0
Yakuza 3 Remastered (Windows),60.0-80.0,3.203,25350.0
The Elder Scrolls V: Skyrim Special Edition (Windows),8.0-10.0,2.2051612903225806,25300.0
Wasteland 3,132.0-166.0,4.50268456375839,25000.0
Yakuza 4 Remastered,60.0-80.0,2.742,24900.0
Need for Speed Payback,42.0-53.0,3.0664,24770.0
The Sims 4,2.0-3.0,2.693,24750.0
Farming Simulator 22 (Windows),30.0-35.0,3.796,24530.0
Tomb Raider: Definitive Edition,40.0-50.0,2.464,24240.0
No Man's Sky,50.0-60.0,2.966,24200.0
Car Mechanic Simulator 2021,80.0-100.0,3.219,23600.0
Disneyland Adventures,40.0-50.0,4.408,23400.0
Star Wars: Squadrons,80.0-100.0,9.076,23270.0
Resident Evil 2: Z Version,16.0-22.5,1.2672897196261683,23240.0
Resident Evil 2,27.0-33.5,2.2177570093457946,23170.0
Pillars Of Eternity II: Deadfire,60.0-80.0,2.516,22720.0
