Game Name,Minimum Completion Time,Install Size (MB),Install Size Per Hour
Too Human,60.0,6220.0,103.66666666666667
Tony and Clyde,0.5,3030.0,6060.0
Tony Stewart's Sprint Car Racing,20.0,18900.0,945.0
Tony Stewart's All-American Racing,20.0,18300.0,915.0
Tony Hawk's Pro Skater HD,15.0,461.0,30.733333333333334
Tony Hawk's Pro Skater 5 (Xbox 360),25.0,1840.0,73.6
Tony Hawk's Pro Skater 5,25.0,9000.0,360.0
Tony Hawk's Pro Skater 1 + 2 (Windows),61.0,23000.0,377.04918032786884
Tony Hawk's Pro Skater 1 + 2,100.0,26570.0,265.7
Tomb Raider: Underworld,15.0,6620.0,441.3333333333333
Tomb Raider: Definitive Edition,40.0,24240.0,606.0
Tomb Raider: Anniversary,15.0,3010.0,200.66666666666666
Tomb Raider IV-VI Remastered,64.0,10000.0,156.25
Tomb Raider I-III Remastered Starring Lara Croft,150.0,6130.0,40.86666666666667
Tomb Raider,40.0,6570.0,164.25
Tom Clancy's The Division 2,65.0,97840.0,1505.2307692307693
Tom Clancy's The Division,60.0,45780.0,763.0
Tom Clancy's Splinter Cell Double Agent,40.0,6700.0,167.5
Tom Clancy's Splinter Cell Conviction,25.0,5920.0,236.8
Tom Clancy's Splinter Cell Blacklist,25.0,10940.0,437.6
Tom Clancy's Rainbow Six Vegas 2 (DE),25.0,7210.0,288.4
Tom Clancy's Rainbow Six Vegas 2,35.0,6430.0,183.71428571428572
Tom Clancy's Rainbow Six Vegas,150.0,6600.0,44.0
Tom Clancy's Rainbow Six Siege,80.0,62060.0,775.75
Tom Clancy's Rainbow Six Extraction,60.0,66490.0,1108.1666666666667
Tom Clancy's H.A.W.X 2,25.0,5990.0,239.6
Tom Clancy's H.A.W.X,35.0,5930.0,169.42857142857142
Tom Clancy's Ghost Recon: Future Soldier,60.0,7570.0,126.16666666666667
Tom Clancy's Ghost Recon Wildlands,60.0,62320.0,1038.6666666666667
Tom Clancy's Ghost Recon Breakpoint,40.0,58350.0,1458.75
Tom Clancy's Ghost Recon Advanced Warfighter 2,20.0,6770.0,338.5
Tom Clancy's Ghost Recon Advanced Warfighter,1006.0,4780.0,4.751491053677932
Tokyo Warfare Turbo,6.0,6830.0,1138.3333333333333
Tokyo 42,20.0,2380.0,119.0
Together We Live,0.25,3000.0,12000.0
Toejam and Earl: Back in the Groove!,35.0,2470.0,70.57142857142857
Toby: The Secret Mine,2.0,435.0,217.5
Toadomination,0.25,378.0,1512.0
To the Moon and Beyond,1.0,275.0,275.0
To the Moon,3.0,2300.0,766.6666666666666
To The Sky,19.0,7530.0,396.3157894736842
To Leave,2.0,6530.0,3265.0
To Hell With The Ugly,6.0,2090.0,348.3333333333333
Titans Pinball,2.0,644.0,322.0
Titanium Hound,19.0,834.0,43.89473684210526
Titanfall 2,15.0,68820.0,4588.0
Titanfall (Xbox 360),230.0,6350.0,27.608695652173914
Titanfall,300.0,19730.0,65.76666666666667
Titan Quest,80.0,15660.0,195.75
Titan Chaser,1.0,4360.0,4360.0
Tip Top: Don't fall! (Xbox One),1.0,1230.0,1230.0
Tip Top: Don't fall!,1.0,1510.0,1510.0
Tinytopia (Windows),21.0,3060.0,145.71428571428572
Tinykin,8.0,4430.0,553.75
Tiny Troopers: Global Ops,8.0,24530.0,3066.25
Tiny Troopers Joint Ops,10.0,1990.0,199.0
Tiny Troopers 2: Special Ops (Windows),8.0,343.0,42.875
Tiny Troopers (Windows),6.0,319.0,53.166666666666664
Tiny Tina's Wonderlands,50.0,34860.0,697.2
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,40.0,13340.0,333.5
Tiny Tales: Heart of the Forest,2.0,895.0,447.5
Tiny Pixels Vol. 1 - Ninpo Blast,3.0,445.0,148.33333333333334
Tiny Little Farm (Xbox One),0.25,385.0,1540.0
Tiny Little Farm (Windows),0.25,70.0,280.0
Tiny Little Farm,0.25,385.0,1540.0
Tiny Hands Adventure,3.0,1650.0,550.0
Tiny Battles,9.0,477.0,53.0
Tintin Reporter - Cigars of the Pharaoh,8.0,37660.0,4707.5
Tinker Racers,5.0,1100.0,220.0
Tin Hearts,12.0,12510.0,1042.5
Tin Can,18.0,1660.0,92.22222222222223
Tin & Kuna,16.0,3110.0,194.375
Timothy vs the Aliens,5.0,1420.0,284.0
Timespinner,12.0,398.0,33.166666666666664
TimeShift,15.0,4400.0,293.3333333333333
Time on Frog Island,15.0,637.0,42.46666666666667
Time Trap: Hidden Objects Remastered,8.0,1220.0,152.5
Time Rift,3.0,750.0,250.0
Time Recoil,19.0,266.0,14.0
Time Pilot,6.0,27.0,4.5
Time Loader,6.0,3600.0,600.0
Time Leap,3.0,2560.0,853.3333333333334
Time Carnage,6.0,2770.0,461.6666666666667
Timberman: The Big Adventure,1.0,831.0,831.0
Timberman VS,12.0,298.0,24.833333333333332
Tilting Tiles,2.0,2090.0,1045.0
Tilesweeper,123.0,743.0,6.040650406504065
Tiles,8.0,50.0,6.25
Ticket to Ride: Classic Edition,8.0,543.0,67.875
Ticket to Ride (2008),6.0,133.0,22.166666666666668
Ticket to Ride,8.0,1510.0,188.75
Tibetan Quest: Beyond World's End,2.0,879.0,439.5
Thymesia,15.0,11460.0,764.0
Thy Sword,2.0,195.0,97.5
Thunderflash,0.5,367.0,734.0
Thunder Wolves,15.0,973.0,64.86666666666666
Thunder Ray,0.5,1180.0,2360.0
Thunder Paw,1.0,114.0,114.0
Thunder Kid: Hunt for the Robot Emperor,0.5,407.0,814.0
Thunder Kid II: Null Mission,0.5,414.0,828.0
Thumper,25.0,915.0,36.6
Through the Woods,2.0,5540.0,2770.0
Thronebreaker: The Witcher Tales,30.0,12060.0,402.0
Throne Quest Deluxe,23.0,315.0,13.695652173913043
Thrillville: Off the Rails,15.0,3140.0,209.33333333333334
Threes!,50.0,332.0,6.64
Three Minutes to Eight,6.0,1310.0,218.33333333333334
Three Fourths Home: Extended Edition,2.0,629.0,314.5
Those Who Remain (Windows),6.0,11330.0,1888.3333333333333
Those Who Remain,6.0,11390.0,1898.3333333333333
