Game Name,Minimum Completion Time,Number of Achievements,TAD,Achievements per Hour,TAD per Hour
Tiny Tina's Wonderlands,54.0,47,1050,0.8703703703703703,19.444444444444443
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,40.0,30,1035,0.75,25.875
Tiny Tales: Heart of the Forest,2.0,24,267,12.0,133.5
Tiny Pixels Vol. 1 - Ninpo Blast,3.0,26,464,8.666666666666666,154.66666666666666
Tiny Little Farm (Xbox One),0.25,15,69,60.0,276.0
Tiny Little Farm (Windows),0.25,15,29,60.0,116.0
Tiny Little Farm,0.25,15,109,60.0,436.0
Tiny Hands Adventure,3.0,16,661,5.333333333333333,220.33333333333334
Tiny Battles,9.0,15,1222,1.6666666666666667,135.77777777777777
Tintin Reporter - Cigars of the Pharaoh,8.0,37,1266,4.625,158.25
Tinker Racers,5.0,32,1414,6.4,282.8
Tin Hearts,12.0,30,5415,2.5,451.25
Tin Can,18.0,18,1565,1.0,86.94444444444444
Tin & Kuna,16.0,27,1777,1.6875,111.0625
Timothy vs the Aliens,5.0,24,463,4.8,92.6
Timespinner,12.0,37,775,3.0833333333333335,64.58333333333333
TimeShift,17.0,57,1963,3.3529411764705883,115.47058823529412
Time on Frog Island,15.0,35,1259,2.3333333333333335,83.93333333333334
Time Trap: Hidden Objects Remastered,8.0,26,528,3.25,66.0
Time Rift,3.0,17,525,5.666666666666667,175.0
Time Recoil,19.0,15,1975,0.7894736842105263,103.94736842105263
Time Pilot,6.0,12,123,2.0,20.5
Time Loader,6.0,29,861,4.833333333333333,143.5
Time Leap,3.0,6,19,2.0,6.333333333333333
Time Carnage,6.0,21,708,3.5,118.0
Timberman: The Big Adventure,1.0,10,169,10.0,169.0
Timberman VS,12.0,25,1528,2.0833333333333335,127.33333333333333
Tilting Tiles,2.0,60,217,30.0,108.5
Tilesweeper,123.0,63,1399,0.5121951219512195,11.373983739837398
Tiles,8.0,19,1373,2.375,171.625
Tiger Woods PGA TOUR 12: The Masters,50.0,46,1898,0.92,37.96
Tiger Woods PGA TOUR 11,25.0,34,1077,1.36,43.08
Tiger Woods PGA TOUR 09,35.0,40,1382,1.1428571428571428,39.48571428571429
Ticket to Ride: Classic Edition,21.0,68,3820,3.238095238095238,181.9047619047619
Ticket to Ride (2008),7.0,15,205,2.142857142857143,29.285714285714285
Ticket to Ride,8.0,66,1936,8.25,242.0
Tibetan Quest: Beyond World's End,2.0,24,286,12.0,143.0
Thymesia,15.0,37,1684,2.466666666666667,112.26666666666667
Thy Sword,2.0,16,193,8.0,96.5
Thunderflash,0.5,15,29,30.0,58.0
Thunder Wolves,15.0,20,689,1.3333333333333333,45.93333333333333
Thunder Ray,0.5,10,595,20.0,1190.0
Thunder Paw,1.0,15,60,15.0,60.0
Thunder Kid: Hunt for the Robot Emperor,0.5,12,42,24.0,84.0
Thunder Kid II: Null Mission,0.5,14,64,28.0,128.0
Thumper,25.0,19,3808,0.76,152.32
Through the Woods,2.0,27,488,13.5,244.0
Thronebreaker: The Witcher Tales,30.0,40,1221,1.3333333333333333,40.7
Throne Quest Deluxe,23.0,50,1176,2.1739130434782608,51.130434782608695
Thrillville: Off the Rails,15.0,50,1348,3.3333333333333335,89.86666666666666
Threes!,50.0,16,3323,0.32,66.46
Three Minutes to Eight,6.0,20,703,3.3333333333333335,117.16666666666667
Three Fourths Home: Extended Edition,2.0,10,50,5.0,25.0
Those Who Remain (Windows),6.0,14,262,2.3333333333333335,43.666666666666664
Those Who Remain,6.0,14,492,2.3333333333333335,82.0
Thor: God of Thunder,25.0,35,2417,1.4,96.68
Thomas Was Alone,3.0,15,238,5.0,79.33333333333333
This War of Mine: The Little Ones,15.0,28,1748,1.8666666666666667,116.53333333333333
This War of Mine: Final Cut,35.0,54,6123,1.542857142857143,174.94285714285715
This Means Warp,50.0,63,2264,1.26,45.28
This Is the Police 2,20.0,12,1665,0.6,83.25
This Is The Police,40.0,10,2579,0.25,64.475
This Bed We Made,8.0,33,969,4.125,121.125
Thirsty Suitors,10.0,26,1493,2.6,149.3
Things on Wheels,3.0,15,252,5.0,84.0
Things Too Ugly,2.0,14,404,7.0,202.0
Thimbleweed Park,8.0,33,1180,4.125,147.5
Thief of Thieves,8.0,53,1843,6.625,230.375
Thief Simulator 2,42.0,50,1228,1.1904761904761905,29.238095238095237
Thief Simulator,15.0,23,758,1.5333333333333334,50.53333333333333
They Came From the Sky 2,0.5,11,52,22.0,104.0
They Are Billions,322.0,26,2546,0.08074534161490683,7.906832298136646
They Always Run,10.0,11,576,1.1,57.6
Thermonuclear,1.0,12,141,12.0,141.0
There Is No Light,50.0,39,2519,0.78,50.38
Them's Fightin' Herds,38.0,28,5736,0.7368421052631579,150.94736842105263
Them Bombs,1.0,10,260,10.0,260.0
Thea: The Awakening,150.0,31,2172,0.20666666666666667,14.48
The end is nahual: If I may say so,17.0,25,1920,1.4705882352941178,112.94117647058823
The Z Axis: Continuum,8.0,44,1796,5.5,224.5
The Wreck,4.0,12,274,3.0,68.5
The World After,0.5,17,81,34.0,162.0
The Wolf Among Us (Xbox 360),5.0,35,175,7.0,35.0
The Wolf Among Us (Windows),8.0,35,80,4.375,10.0
The Wolf Among Us,8.0,35,328,4.375,41.0
The Wizard and The Slug,0.25,11,20,44.0,80.0
The Witness,15.0,13,795,0.8666666666666667,53.0
The Witcher 3: Wild Hunt - Complete Edition,150.0,78,2837,0.52,18.913333333333334
The Witcher 3: Wild Hunt,157.0,78,2396,0.4968152866242038,15.261146496815286
The Witcher 2: Assassins of Kings (EU),40.0,50,1326,1.25,33.15
The Witcher 2: Assassins of Kings,50.0,50,1601,1.0,32.02
The Witch's House MV,6.0,18,852,3.0,142.0
The Wild at Heart,15.0,29,1418,1.9333333333333333,94.53333333333333
The Wild Eight,36.0,18,2269,0.5,63.02777777777778
The Way,15.0,29,1205,1.9333333333333333,80.33333333333333
The Wardrobe: Even Better Edition,2.0,28,666,14.0,333.0
The Wandering Village,40.0,17,3449,0.425,86.225
The Wanderer: Frankenstein's Creature,5.0,20,284,4.0,56.8
The Walking Zombie 2,217.0,32,5762,0.14746543778801843,26.552995391705068
The Walking Dead: The Telltale Definitive Series,40.0,23,384,0.575,9.6
The Walking Dead: The Final Season (Windows),8.0,48,224,6.0,28.0
The Walking Dead: The Final Season,8.0,48,279,6.0,34.875
The Walking Dead: Survival Instinct,15.0,50,1583,3.3333333333333335,105.53333333333333
The Walking Dead: Season Two (Xbox 360),5.0,40,68,8.0,13.6
The Walking Dead: Season Two (Windows),8.0,40,63,5.0,7.875
The Walking Dead: Season Two,8.0,40,96,5.0,12.0
The Walking Dead: Michonne (Xbox 360),3.0,21,25,7.0,8.333333333333334
The Walking Dead: Michonne (Windows),3.0,21,52,7.0,17.333333333333332
The Walking Dead: Michonne,3.0,21,49,7.0,16.333333333333332
The Walking Dead: Destinies,10.0,52,529,5.2,52.9
The Walking Dead: A New Frontier (Windows),5.0,30,165,6.0,33.0
The Walking Dead: A New Frontier,5.0,30,67,6.0,13.4
The Walking Dead Collection - The Telltale Series,30.0,139,816,4.633333333333334,27.2
The Walking Dead (Xbox 360),6.0,48,135,8.0,22.5
The Walking Dead (Windows),10.0,48,341,4.8,34.1
The Walking Dead,12.0,48,331,4.0,27.583333333333332
The Voice (Xbox 360),8.0,37,1047,4.625,130.875
The Voice (FR),2.0,10,225,5.0,112.5
The Voice (ES),2.0,10,233,5.0,116.5
The Voice (DE),2.0,10,166,5.0,83.0
The Voice,2.0,10,198,5.0,99.0
The VideoKid,2.0,10,487,5.0,243.5
The Vanishing of Ethan Carter,1.0,14,128,14.0,128.0
The Valiant,58.0,32,3052,0.5517241379310345,52.62068965517241
The Vale: Shadow of the Crown,6.0,10,1793,1.6666666666666667,298.8333333333333
The Unicorn Princess,3.0,20,209,6.666666666666667,69.66666666666667
The Unexpected Quest,8.0,14,1735,1.75,216.875
The UnderGarden,8.5,15,287,1.7647058823529411,33.76470588235294
The Turing Test,6.0,15,335,2.5,55.833333333333336
The True,1.0,19,251,19.0,251.0
The Traveler's Path,0.25,22,121,88.0,484.0
The Town of Light (JP),3.0,20,57,6.666666666666667,19.0
The Town of Light,3.0,20,314,6.666666666666667,104.66666666666667
The Tower of Beatrice,2.0,13,134,6.5,67.0
The Touryst,6.0,10,591,1.6666666666666667,98.5
The Thing: Remastered,8.0,11,1163,1.375,145.375
The Thaumaturge,39.0,56,1737,1.435897435897436,44.53846153846154
The Texas Chain Saw Massacre (Windows),80.0,50,2070,0.625,25.875
The Texas Chain Saw Massacre,100.0,50,2477,0.5,24.77
The Testament of Sherlock Holmes (EU),8.0,32,234,4.0,29.25
The Testament of Sherlock Holmes,8.0,32,286,4.0,35.75
The Technomancer,40.0,40,3410,1.0,85.25
The Tartarus Key,2.0,16,272,8.0,136.0
The Talos Principle II,55.0,86,1402,1.5636363636363637,25.490909090909092
The Talos Principle (Windows),25.0,40,1554,1.6,62.16
The Talos Principle,25.0,40,1825,1.6,73.0
The Taller I Grow,2.0,11,511,5.5,255.5
The Tale of Bistun,7.0,38,521,5.428571428571429,74.42857142857143
The Swindle,35.0,15,2986,0.42857142857142855,85.31428571428572
The Swapper,3.0,10,113,3.3333333333333335,37.666666666666664
The Sushi Spinnery,21.0,10,454,0.47619047619047616,21.61904761904762
The Survivalists,25.0,42,2004,1.68,80.16
The Surge 2 (Windows),22.0,57,2457,2.590909090909091,111.68181818181819
The Surge 2,37.0,57,2330,1.5405405405405406,62.972972972972975
The Surge (Windows),52.0,67,2720,1.2884615384615385,52.30769230769231
The Surge,53.0,67,3060,1.2641509433962264,57.735849056603776
The Super Penguboy (Windows 10),0.25,44,223,176.0,892.0
The Super Penguboy,0.25,44,289,176.0,1156.0
The Sun and Moon,15.0,12,2883,0.8,192.2
The Suicide of Rachel Foster,2.0,11,140,5.5,70.0
The Strange Story Of Brian Fisher: Chapter 1,2.0,10,196,5.0,98.0
The StoryTale (Windows),0.25,27,515,108.0,2060.0
The StoryTale,1.0,32,1138,32.0,1138.0
The Story Goes On,10.0,29,701,2.9,70.1
The Station,0.5,11,46,22.0,92.0
The Star Named EOS,3.0,24,141,8.0,47.0
The Stanley Parable: Ultra Deluxe,25.0,11,792,0.44,31.68
The Spy Who Shot Me,12.0,44,1354,3.6666666666666665,112.83333333333333
The Spiderwick Chronicles,8.0,50,380,6.25,47.5
The Spectrum Retreat,6.0,15,387,2.5,64.5
The Sorrowvirus - A Faceless Short Story,3.0,14,261,4.666666666666667,87.0
The Song Out of Space,0.25,12,21,48.0,84.0
The Solitaire Conspiracy,6.0,20,614,3.3333333333333335,102.33333333333333
The Sojourn,8.0,16,717,2.0,89.625
The Snow Fable: Mystery of the Flame,15.0,27,471,1.8,31.4
The Smurfs: Mission Vileaf,15.0,28,1206,1.8666666666666667,80.4
The Smurfs 2: The Prisoner of the Green Stone,37.0,36,1516,0.972972972972973,40.972972972972975
The Smurfs 2,6.0,32,401,5.333333333333333,66.83333333333333
The Smurfs - Village Party,37.0,36,1402,0.972972972972973,37.891891891891895
The Smurfs - Dreams,11.0,21,478,1.9090909090909092,43.45454545454545
The Smile Alchemist,20.0,31,465,1.55,23.25
The Skylia Prophecy,0.5,12,88,24.0,176.0
The Sisters 2 - Road to Fame,12.0,43,472,3.5833333333333335,39.333333333333336
The Sisters - Party of the Year,13.0,45,726,3.4615384615384617,55.84615384615385
The Sinking City (Xbox One),20.0,29,1250,1.45,62.5
The Sinking City,15.0,28,1363,1.8666666666666667,90.86666666666666
The Sims 4,2.0,50,1693,25.0,846.5
The Sims 3 Pets,50.0,50,1746,1.0,34.92
The Sims 3,30.0,50,1347,1.6666666666666667,44.9
The Simpsons Game,20.0,44,1246,2.2,62.3
The Simpsons Arcade,8.0,12,167,1.5,20.875
The Shapeshifting Detective,5.0,21,515,4.2,103.0
The Sexy Brutale,6.0,19,455,3.1666666666666665,75.83333333333333
The Serpent Rogue,23.0,41,3367,1.7826086956521738,146.3913043478261
The Secret of Monkey Island: Special Edition,4.0,12,109,3.0,27.25
The Secret Order: Shadow Breach,3.0,31,236,10.333333333333334,78.66666666666667
The Secret Order: Return to the Buried Kingdom,3.0,30,236,10.0,78.66666666666667
The Sealed Ampoule,69.0,45,881,0.6521739130434783,12.768115942028986
The Saboteur,40.0,45,625,1.125,15.625
The Rumble Fish 2,9.0,24,1065,2.6666666666666665,118.33333333333333
The Rumble Fish +,3.0,12,484,4.0,161.33333333333334
The Rise of the Golden Idol,8.0,50,93,6.25,11.625
The Riftbreaker (Windows),28.0,47,3875,1.6785714285714286,138.39285714285714
The Riftbreaker,32.5,47,4032,1.4461538461538461,124.06153846153846
The Rewinder,4.0,29,1649,7.25,412.25
The Redress of Mira,1.0,23,169,23.0,169.0
The Red Exile - Survival Horror,0.5,22,184,44.0,368.0
The Raven Remastered,8.0,34,550,4.25,68.75
The Raven,7.0,28,221,4.0,31.571428571428573
The Ramsey,10.0,18,1014,1.8,101.4
The Ramen Sensei,29.0,10,1148,0.3448275862068966,39.58620689655172
The Rabbit Crazy Adventure (Windows),0.25,43,188,172.0,752.0
The Rabbit Crazy Adventure,0.25,43,270,172.0,1080.0
The Quarry (Xbox One),40.0,40,2396,1.0,59.9
The Quarry,40.0,40,2650,1.0,66.25
The Psychoduck,0.25,11,20,44.0,80.0
The Procession to Calvary,1.0,21,279,21.0,279.0
The Prisoner of the Night,0.25,19,191,76.0,764.0
The Prince of Landis,0.5,35,24,70.0,48.0
The Price Is Right: Decades,40.0,50,2007,1.25,50.175
The Plucky Squire,8.0,20,773,2.5,96.625
The Plane Effect,3.0,33,722,11.0,240.66666666666666
The Pizza Delivery Boy Who Saved the World,0.25,13,9,52.0,36.0
The Pinball Arcade (Xbox 360),6.0,18,376,3.0,62.666666666666664
The Pinball Arcade,145.0,10,3348,0.06896551724137931,23.089655172413792
The Pillar: Puzzle Escape,1.0,13,65,13.0,65.0
The Persistence Enhanced,15.0,43,1577,2.8666666666666667,105.13333333333334
The Persistence,20.0,43,1814,2.15,90.7
The Penguins of Madagascar,6.0,44,380,7.333333333333333,63.333333333333336
The Penguin Factory (Windows),6.0,25,763,4.166666666666667,127.16666666666667
The Pedestrian,0.25,10,290,40.0,1160.0
The Peanuts Movie: Snoopy's Grand Adventure (Xbox 360),6.0,21,430,3.5,71.66666666666667
The Peanuts Movie: Snoopy's Grand Adventure,8.0,22,456,2.75,57.0
The Pathless,12.0,42,879,3.5,73.25
The Path of Motus,1.0,15,72,15.0,72.0
The Path of Go,5.0,12,285,2.4,57.0
The Park,1.0,14,34,14.0,34.0
The Palace on the Hill,6.0,16,409,2.6666666666666665,68.16666666666667
The Outlast Trials,25.0,27,887,1.08,35.48
The Outfit,60.0,41,2224,0.6833333333333333,37.06666666666667
The Outer Worlds: Spacer's Choice Edition (Windows),40.0,68,958,1.7,23.95
The Outer Worlds: Spacer's Choice Edition,40.0,68,1278,1.7,31.95
The Outer Worlds (Windows),39.0,68,3294,1.7435897435897436,84.46153846153847
The Outer Worlds,54.0,68,2534,1.2592592592592593,46.925925925925924
The Ouroboros King,1.0,13,377,13.0,377.0
The Otterman Empire,160.0,15,264,0.09375,1.65
The Oregon Trail,288.0,83,3436,0.2881944444444444,11.930555555555555
The Orange Box,80.0,99,1596,1.2375,19.95
The One We Found,3.0,16,277,5.333333333333333,92.33333333333333
The Office Quest,1.0,17,48,17.0,48.0
The Occupation,8.0,15,1206,1.875,150.75
The Myth Seekers: The Legacy of Vulkan,2.0,24,123,12.0,61.5
The Myth Seekers 2: The Sunken City,2.0,23,158,11.5,79.0
The Mummy Demastered,6.0,37,699,6.166666666666667,116.5
The Mortuary Assistant,29.0,25,1939,0.8620689655172413,66.86206896551724
The Mooseman (Xbox One),1.0,15,84,15.0,84.0
The Mooseman,1.0,15,165,15.0,165.0
The Mobius Machine,43.0,26,3926,0.6046511627906976,91.30232558139535
The Misadventures of P.B. Winterbottom,6.0,12,190,2.0,31.666666666666668
The Mildew Children,9.0,32,791,3.5555555555555554,87.88888888888889
The Metronomicon: Slay the Dance Floor,20.0,32,2271,1.6,113.55
The Messenger (Windows),15.0,48,1506,3.2,100.4
The Messenger,18.0,48,1897,2.6666666666666665,105.38888888888889
The Mermaid of Zennor,0.25,13,0,52.0,0.0
The Medium,8.0,39,679,4.875,84.875
The Mean Greens: Plastic Warfare,12.0,24,1636,2.0,136.33333333333334
The Maw,6.0,15,152,2.5,25.333333333333332
The Master's Pupil,5.0,11,340,2.2,68.0
The Many Pieces of Mr. Coo,1.0,21,148,21.0,148.0
The Manga Works,27.0,10,748,0.37037037037037035,27.703703703703702
The Making of Karateka,11.0,19,2012,1.7272727272727273,182.9090909090909
The Magister,31.0,10,613,0.3225806451612903,19.774193548387096
The Magic Circle: Gold Edition,6.0,13,988,2.1666666666666665,164.66666666666666
The Mageseeker: A League of Legends Story,12.0,53,808,4.416666666666667,67.33333333333333
The MISSING: J.J. Macfield and the Island of Memories,8.0,20,851,2.5,106.375
The Lullaby of Life,7.0,10,667,1.4285714285714286,95.28571428571429
The Lost Legends of Redwall: The Scout Anthology,104.0,100,2235,0.9615384615384616,21.490384615384617
The Lost Legends of Redwall: The Scout,16.0,53,1742,3.3125,108.875
The Lost Cube,1.0,20,131,20.0,131.0
The Lost And The Wicked,3.0,16,592,5.333333333333333,197.33333333333334
The Lord of the Rings: War in the North,25.0,46,662,1.84,26.48
The Lord of the Rings: The Battle for Middle-earth II,30.0,35,1438,1.1666666666666667,47.93333333333333
The Lord of the Rings: Return to Moria,40.0,27,1607,0.675,40.175
The Lord of the Rings: Gollum,102.0,36,4240,0.35294117647058826,41.568627450980394
The Lord of the Rings: Conquest,15.0,47,1157,3.1333333333333333,77.13333333333334
The Lord of the Rings: Adventure Card Game - Definitive Edition,457.0,50,13159,0.10940919037199125,28.794310722100658
The Longest Road on Earth,1.0,20,56,20.0,56.0
The Long Reach,1.0,15,152,15.0,152.0
The Long Dark,150.0,75,16584,0.5,110.56
The Living Dungeon,20.0,21,3638,1.05,181.9
The Little Acre,1.0,27,210,27.0,210.0
The Life and Suffering of Sir Brante,23.0,30,1486,1.3043478260869565,64.6086956521739
The Letter: A Horror Visual Novel,0.25,35,42,140.0,168.0
The Legend of the Dragonflame Highschool Collection,1.0,22,54,22.0,54.0
The Legend of Tianding,10.0,26,2137,2.6,213.7
The Legend of Spyro: Dawn of the Dragon,15.0,50,988,3.3333333333333335,65.86666666666666
The Legend of Korra (Xbox 360),12.0,30,643,2.5,53.583333333333336
The Legend of Korra,10.0,30,904,3.0,90.4
The Legend of Cyber Cowboy,1.0,19,1047,19.0,1047.0
The Last Worker,8.0,31,1956,3.875,244.5
The Last Stand: Aftermath (JP),51.0,35,1076,0.6862745098039216,21.098039215686274
The Last Stand: Aftermath,40.0,35,1537,0.875,38.425
The Last Show of Mr. Chardish,2.0,20,184,10.0,92.0
The Last Shot (Xbox One),4.0,22,1647,5.5,411.75
The Last Shot (Windows),2.0,22,386,11.0,193.0
The Last Shot,3.0,22,1729,7.333333333333333,576.3333333333334
The Last Rolling Hero,2.0,55,122,27.5,61.0
The Last Remnant,80.0,22,1392,0.275,17.4
The Last Oricru,30.0,31,3219,1.0333333333333334,107.3
The Last Kids on Earth and the Staff of Doom,12.0,43,1681,3.5833333333333335,140.08333333333334
The Last Hero of Nostalgaia,40.0,45,4130,1.125,103.25
The Last Faith,15.0,52,701,3.466666666666667,46.733333333333334
The Last Door: Season 2 (Windows),6.0,16,234,2.6666666666666665,39.0
The Last Door - Complete Edition,6.0,37,649,6.166666666666667,108.16666666666667
The Last DeadEnd,2.0,27,325,13.5,162.5
The Last Cube,26.0,15,1122,0.5769230769230769,43.15384615384615
The Last Case of Benedict Fox: Definitive Edition,15.0,32,1653,2.1333333333333333,110.2
The Last Campfire,5.0,22,353,4.4,70.6
The Language Of Love,0.25,14,8,56.0,32.0
The Land Beneath Us,65.0,36,4132,0.5538461538461539,63.56923076923077
The Lamplighters League,50.0,41,2896,0.82,57.92
The LEGO NINJAGO Movie Video Game,15.0,50,1213,3.3333333333333335,80.86666666666666
The LEGO Movie Videogame (Xbox 360),15.0,48,725,3.2,48.333333333333336
The LEGO Movie Videogame,15.0,48,822,3.2,54.8
The LEGO Movie 2 Videogame,15.0,50,517,3.3333333333333335,34.46666666666667
The Knight Witch,12.0,27,896,2.25,74.66666666666667
The King's Bird,6.0,13,350,2.1666666666666665,58.333333333333336
The King of Fighters XV (Windows),43.0,49,525,1.1395348837209303,12.209302325581396
The King of Fighters XV,30.0,49,2631,1.6333333333333333,87.7
The King of Fighters XIII,60.0,46,3755,0.7666666666666667,62.583333333333336
The King of Fighters 2002 Unlimited Match,8.0,12,180,1.5,22.5
The King of Fighters '98 Ultimate Match,1.0,12,185,12.0,185.0
The Kindeman Remedy,39.0,22,1512,0.5641025641025641,38.76923076923077
The Karate Kid: Street Rumble,44.0,48,2367,1.0909090909090908,53.79545454545455
The Journey Down: Chapter Two,1.0,14,11,14.0,11.0
The Journey Down: Chapter Three,1.0,14,12,14.0,12.0
The Journey Down: Chapter One,1.0,14,66,14.0,66.0
The Jackbox Survey Scramble,1.0,10,962,10.0,962.0
The Jackbox Party Starter,10.0,20,1374,2.0,137.4
The Jackbox Party Pack 9,10.0,20,3045,2.0,304.5
The Jackbox Party Pack 8,6.0,20,2812,3.3333333333333335,468.6666666666667
The Jackbox Party Pack 7,3.0,20,1538,6.666666666666667,512.6666666666666
The Jackbox Party Pack 6,6.0,20,1786,3.3333333333333335,297.6666666666667
The Jackbox Party Pack 5,4.0,20,1630,5.0,407.5
The Jackbox Party Pack 4,6.0,20,1804,3.3333333333333335,300.6666666666667
The Jackbox Party Pack 3,3.0,20,1568,6.666666666666667,522.6666666666666
The Jackbox Party Pack 2,6.0,20,1538,3.3333333333333335,256.3333333333333
The Jackbox Party Pack 10,1.0,20,1445,20.0,1445.0
The Jackbox Party Pack (Xbox 360),15.0,20,557,1.3333333333333333,37.13333333333333
The Jackbox Party Pack,15.0,20,1340,1.3333333333333333,89.33333333333333
The Jackbox Naughty Pack,1.0,20,1743,20.0,1743.0
The Isle Tide Hotel,6.0,26,231,4.333333333333333,38.5
The Invisible Hours,4.0,36,265,9.0,66.25
The Invincible,12.0,29,865,2.4166666666666665,72.08333333333333
The Inquisitor,12.0,41,1186,3.4166666666666665,98.83333333333333
The Innsmouth Case,1.0,23,171,23.0,171.0
The Inner World - The Last Wind Monk,3.0,25,437,8.333333333333334,145.66666666666666
The Inner World,3.0,23,168,7.666666666666667,56.0
The Inner Friend,1.0,12,139,12.0,139.0
The Inheritance of Crimson Manor,4.0,12,285,3.0,71.25
The Infectious Madness of Doctor Dekker,8.0,21,649,2.625,81.125
The Incredible Hulk,15.0,50,1403,3.3333333333333335,93.53333333333333
The Incredible Adventures of Van Helsing III,25.0,56,2825,2.24,113.0
The Incredible Adventures of Van Helsing II,35.0,50,1061,1.4285714285714286,30.314285714285713
The Incredible Adventures of Van Helsing,20.0,26,2590,1.3,129.5
The Idolm@ster: Live for You!,2.0,48,26,24.0,13.0
The House of Da Vinci 3,16.0,30,843,1.875,52.6875
The House of Da Vinci 2,11.0,24,505,2.1818181818181817,45.90909090909091
The House of Da Vinci,6.0,14,279,2.3333333333333335,46.5
The Hong Kong Massacre,39.0,19,3620,0.48717948717948717,92.82051282051282
The Holy Gosh Darn,25.0,37,1156,1.48,46.24
The History Channel: Civil War - A Nation Divided,8.0,50,640,6.25,80.0
The History Channel: Battle for the Pacific,12.0,44,809,3.6666666666666665,67.41666666666667
The Hand Of Merlin,56.0,54,2298,0.9642857142857143,41.035714285714285
The Gunstringer: Dead Man Running (Windows),30.0,20,463,0.6666666666666666,15.433333333333334
The Gunstringer,25.0,70,4873,2.8,194.92
The Gunk,6.0,17,634,2.8333333333333335,105.66666666666667
The Guise,0.5,11,195,22.0,390.0
The Grinch: Christmas Adventures,3.0,15,243,5.0,81.0
The Great Wobo Escape (Windows),4.0,12,104,3.0,26.0
The Great Perhaps,1.0,14,163,14.0,163.0
The Grand Tour Game,30.5,112,1461,3.6721311475409837,47.90163934426229
The Good Life,60.0,42,6175,0.7,102.91666666666667
The Golf Club 2019,25.0,29,1979,1.16,79.16
The Golf Club 2,271.0,26,3821,0.0959409594095941,14.099630996309964
The Golf Club,15.0,24,1878,1.6,125.2
The Golden Compass,12.0,16,735,1.3333333333333333,61.25
The Godfather: The Game,48.0,58,1525,1.2083333333333333,31.770833333333332
The Godfather II,15.0,41,454,2.7333333333333334,30.266666666666666
The Glass Staircase,4.0,16,526,4.0,131.5
The Gardens Between,1.0,17,122,17.0,122.0
The Gardener and the Wild Vines,9.0,22,1270,2.4444444444444446,141.11111111111111
The Gap,1.0,18,299,18.0,299.0
The Game of Life 2,15.0,10,1050,0.6666666666666666,70.0
The Gallery,4.0,29,329,7.25,82.25
The Galactic Junkers,19.0,23,4162,1.2105263157894737,219.05263157894737
The Four Kings Casino and Slots,1060.0,56,3887,0.052830188679245285,3.6669811320754717
The Forgotten City,8.0,40,722,5.0,90.25
The Forest Cathedral,1.0,10,86,10.0,86.0
The Forbidden Arts,6.0,66,1165,11.0,194.16666666666666
The Food Run (Windows),4.0,41,141,10.25,35.25
The Flame in the Flood,60.0,36,3903,0.6,65.05
The Fisherman - Fishing Planet,299.0,18,7528,0.06020066889632107,25.17725752508361
The First Tree,2.0,14,597,7.0,298.5
The First Templar,21.0,54,1119,2.5714285714285716,53.285714285714285
The First Descendant,60.0,24,1170,0.4,19.5
The Fine Art of Murder,0.25,12,15,48.0,60.0
The Final Station,14.0,23,3311,1.6428571428571428,236.5
The Fast Journey (Windows),0.25,28,134,112.0,536.0
The Fast Journey,0.25,28,198,112.0,792.0
The Fancy Pants Adventures,10.0,12,237,1.2,23.7
The Fall of Elena Temple,1.5,23,637,15.333333333333334,424.6666666666667
The Fall Part 2: Unbound,17.0,37,931,2.176470588235294,54.76470588235294
The Fall,2.0,17,226,8.5,113.0
The Falconeer,15.0,29,4489,1.9333333333333333,299.26666666666665
The Fairy's Song,0.25,15,0,60.0,0.0
The Explorer Of Night (Windows),0.25,25,95,100.0,380.0
The Explorer Of Night,0.25,32,395,128.0,1580.0
The Experiment: Escape Room,1.0,10,240,10.0,240.0
The Expendables 2 Videogame,10.0,21,282,2.1,28.2
The Expanse: A Telltale Series,6.5,35,885,5.384615384615385,136.15384615384616
The Exit 8,1.0,10,186,10.0,186.0
The Excrawlers (Windows),0.25,15,198,60.0,792.0
The Excrawlers,0.5,15,257,30.0,514.0
The Evil Within 2 (Windows),20.0,51,1262,2.55,63.1
The Evil Within 2 (JP),57.0,51,460,0.8947368421052632,8.070175438596491
The Evil Within 2,25.0,51,1165,2.04,46.6
The Evil Within (Xbox 360),40.0,71,2688,1.775,67.2
The Evil Within (Windows),40.0,71,2973,1.775,74.325
The Evil Within (JP),30.0,71,1179,2.3666666666666667,39.3
The Evil Within,70.0,71,3019,1.0142857142857142,43.128571428571426
The Eternal Cylinder,20.0,12,1987,0.6,99.35
The Escapists: The Walking Dead (Windows),12.0,19,834,1.5833333333333333,69.5
The Escapists: The Walking Dead,17.0,24,4129,1.411764705882353,242.88235294117646
The Escapists 2,25.0,58,6034,2.32,241.36
The Escapists (Xbox 360),15.0,16,1792,1.0666666666666667,119.46666666666667
The Escapists,26.0,34,4840,1.3076923076923077,186.15384615384616
The Entropy Centre,15.0,27,688,1.8,45.86666666666667
The Enigma Machine,0.25,10,45,40.0,180.0
The Elder Scrolls V: Skyrim Special Edition (Windows),8.0,75,1868,9.375,233.5
The Elder Scrolls V: Skyrim Special Edition,80.0,75,1614,0.9375,20.175
The Elder Scrolls V: Skyrim,98.0,75,863,0.7653061224489796,8.806122448979592
The Elder Scrolls Online,1000.0,171,26369,0.171,26.369
